,total,chk_3,chk_4,ratio3
145d93c4,,,,
319c4623,,,,
f4c3f68d,,,,
62c64df6,,,,
9252b745,,,,
2a5926f3,,,,
069251f3,,,,
38c5af9c,,,,
ef23fd04,,,,
72c9ac63,,,,
0440d12f,,,,
e302137c,,,,
d460ba4d,,,,
bc63d9b6,,,,
24af5f2f,,,,
80574be7,,,,
fb079d74,,,,
d4358cc8,,,,
124dc487,,,,
672d927e,,,,
26537aad,,,,
e395a636,,,,
98ac22c0,,,,
bf8eefe5,,,,
a144dd6d,,,,
b60cf76e,,,,
9d18687d,,,,
10d3ade3,,,,
61ca237b,,,,
6e89ab46,,,,
1a8adeed,,,,
7d0f35f6,,,,
895b2a8d,,,,
9a57f531,,,,
ecfafa0a,,,,
f49104d5,,,,
86c63524,,,,
fc4d7b37,,,,
32c43697,,,,
efcb7577,,,,
e0eb1593,,,,
b926e1a7,,,,
92b49cc1,,,,
9232f57e,,,,
cd34bc10,,,,
b8b0a377,,,,
70cc1142,,,,
a43ae9c8,,,,
a50321a0,,,,
9b9fa52d,,,,
2cc08bf7,,,,
e65e763c,,,,
c73349f5,,,,
40e72ce7,,,,
d3b44d4c,,,,
531c2716,,,,
6a5dcf2a,,,,
519aa540,,,,
1acb6543,,,,
e31d24a4,,,,
c6439e20,,,,
2d846e18,,,,
503a2e7b,,,,
fef94b75,,,,
a214b909,,,,
2caca527,,,,
4bca4653,,,,
c937b43d,,,,
43632e77,,,,
af55b254,,,,
dcdec748,,,,
dca278af,,,,
851dc662,,,,
6eab1e6c,,,,
15cd3cf9,,,,
c7c9a02a,,,,
ab104817,,,,
152c324c,,,,
e3d5ef27,,,,
83b525ad,,,,
0b3c4662,,,,
c685d30e,,,,
eee22258,,,,
5685f1db,,,,
775fe313,,,,
70e5de17,,,,
98b2089c,,,,
d5083ee4,,,,
ec739298,,,,
b28dfe6e,,,,
d9709c3c,,,,
b49a1bb7,,,,
9c521c6b,,,,
c252abc1,,,,
f52c0fe3,,,,
8b57ca53,,,,
93ae725a,,,,
c57710db,,,,
384445fd,,,,
724b0c72,,,,
c3c63920,,,,
070bec95,,,,
1e34c5f4,,,,
ddbd9d5f,,,,
9b08c01b,,,,
deec6d4e,,,,
90f052b4,,,,
d1d0edbe,,,,
d2f94262,,,,
95dc5e8b,,,,
56b59f1e,,,,
aa702be8,,,,
a615476a,,,,
ccae0b14,,,,
a2b25ece,,,,
8c8894f8,,,,
32249550,,,,
512550a5,,,,
e888e1e3,,,,
8d018c18,,,,
2efb9b1f,,,,
6c10d56e,,,,
b6400e9b,,,,
a7c63dd7,,,,
edba6be6,,,,
b0c60370,,,,
05ae943e,,,,
dcb4b693,,,,
f33717d8,,,,
3f5c1cea,,,,
54d2d8d4,,,,
358f2896,,,,
c8a15812,,,,
c14736f5,,,,
a07854be,,,,
cb4e81be,,,,
f62edacd,,,,
53c02347,,,,
b3c00416,,,,
9950d89b,,,,
17d37133,,,,
4419dd60,,,,
9ab60c2a,,,,
2156231f,,,,
26e67ebe,,,,
17b0a80f,,,,
a70e840b,,,,
6f4fc8f5,,,,
be8e710d,,,,
c622a392,,,,
0fa85c66,,,,
d49648ef,,,,
4be6d4f3,,,,
