,total,chk_3,chk_4,ratio3
bf97d0d8,,,,
0fba21a3,,,,
67150690,,,,
64a6ad84,,,,
2ab71681,,,,
e333757e,,,,
6df838ff,,,,
4477c060,,,,
208ae394,,,,
7584ef71,,,,
6660659f,,,,
0d82b247,,,,
74a24c25,,,,
e336f845,,,,
74ed72f0,,,,
de323f7d,,,,
129aea5e,,,,
18651d00,,,,
a33eff2a,,,,
58015130,,,,
9e098c79,,,,
4c049de9,,,,
6ad33345,,,,
31a13b13,,,,
6c5f234c,,,,
07555259,,,,
a89b7cd2,,,,
88de1fec,,,,
5af23bf7,,,,
12344f47,,,,
6bd35790,,,,
c6cb12d4,,,,
729caf58,,,,
bbdf9b1a,,,,
b39fa254,,,,
7a8647fc,,,,
6f53f92c,,,,
37b60b10,,,,
21ecaeca,,,,
1f315bb9,,,,
d4ecc5c8,,,,
5f71942e,,,,
406566e1,,,,
92c8f40a,,,,
d47090d5,,,,
508c1dc5,,,,
8e7547d0,,,,
34f811be,,,,
f8b0a851,,,,
bf7859a0,,,,
ca01662d,,,,
92ba1776,,,,
68d067f5,,,,
3b262300,,,,
5d6a948b,,,,
eb7e128a,,,,
6d7efdfb,,,,
8bda38ea,,,,
e9a4b918,,,,
b6ff5b9a,,,,
5f44c552,,,,
7dd08b3f,,,,
a860473d,,,,
ba25d9aa,,,,
2e8476b0,,,,
7b6106e2,,,,
20136fec,,,,
3ff9eb63,,,,
ebc39500,,,,
d773da76,,,,
ebc7bba2,,,,
9a055891,,,,
fb238406,,,,
61b152a8,,,,
f45d3dd5,,,,
b8ce24db,,,,
2dabb4dc,,,,
f8a078f9,,,,
112f1ae9,,,,
aa2b0269,,,,
adc94341,,,,
da782bb4,,,,
576fa34d,,,,
508bf3fe,,,,
4fb85a60,,,,
fa64ad28,,,,
71f62080,,,,
6b964b54,,,,
6239bc52,,,,
6c76878a,,,,
72390b7a,,,,
49f2bd8c,,,,
44580b94,,,,
a6e55ae6,,,,
f305e99d,,,,
e725320b,,,,
ecacc2f5,,,,
ed4d8e0a,,,,
7bdce0fc,,,,
ed7d13fc,,,,
7d752666,,,,
c4fc2218,,,,
addebb78,,,,
e4cf4798,,,,
84c1cc20,,,,
ba1a75ea,,,,
3c2d0404,,,,
5400b763,,,,
e914e5f9,,,,
9dabb1ed,,,,
1879a4f6,,,,
958a0a32,,,,
261b9204,,,,
45817eb3,,,,
88b3288b,,,,
d32cfec1,,,,
561a70e9,,,,
d777f4d4,,,,
6806dc0a,,,,
91ef2eb2,,,,
821cc23b,,,,
a91ecdef,,,,
59a187f5,,,,
bdbc47be,,,,
12b6abee,,,,
4a6b4f35,,,,
882c8646,,,,
a00efade,,,,
699e8a9e,,,,
93001c32,,,,
cb75a042,,,,
0b84e31d,,,,
3dc6424b,,,,
d7b94268,,,,
bd52efdc,,,,
ed589c26,,,,
d146f986,,,,
573c2d03,,,,
86295364,,,,
c9ea2708,,,,
8fe9246f,,,,
b4a51da0,,,,
b0794359,,,,
4b1b3b79,,,,
b34702db,,,,
6186fdcc,,,,
3f4ffd85,,,,
1d2ef586,,,,
f502e26c,,,,
f516ddde,,,,
e52ed506,,,,
881d5e45,,,,
d3c29847,,,,
850dfba8,,,,
a909829f,,,,
1dadd71a,,,,
e98318df,,,,
ef6fdb9f,,,,
b9e9963d,,,,
6778f3fb,,,,
dc2e2138,,,,
